Date,Open,High,Low,Close,Adj Close,Volume
2019-05-24,133.529999,134.250000,131.589996,132.279999,130.739548,2596100
2019-05-28,132.130005,132.639999,130.270004,130.460007,128.940750,4908800
2019-05-29,130.000000,130.279999,128.320007,129.690002,128.179703,3679000
2019-05-30,129.740005,129.970001,128.929993,129.570007,128.061111,2741900
2019-05-31,128.440002,128.440002,126.849998,126.989998,125.511147,3539300
2019-06-03,127.099998,128.559998,127.059998,128.270004,126.776245,4266900
2019-06-04,129.559998,132.740005,129.089996,132.690002,131.144775,3913500
2019-06-05,133.380005,133.610001,130.470001,131.490005,129.958740,3161300
2019-06-06,132.190002,132.649994,130.899994,132.220001,130.680237,2298200
2019-06-07,132.470001,134.720001,132.210007,133.309998,131.757538,2553400
2019-06-10,134.380005,135.350006,133.910004,134.740005,133.170898,2911300
2019-06-11,135.320007,136.460007,135.050003,135.949997,134.366806,3407300
2019-06-12,135.559998,135.940002,134.410004,134.869995,133.299377,2254700
2019-06-13,135.130005,136.270004,135.089996,135.759995,134.179016,2955300
2019-06-14,135.440002,135.880005,134.429993,135.149994,133.576111,2193300
2019-06-17,135.389999,136.029999,134.699997,134.949997,133.378448,2194100
2019-06-18,135.199997,137.190002,135.199997,136.380005,134.791794,2914700
2019-06-19,136.429993,138.360001,136.240005,137.080002,135.483643,2382400
2019-06-20,138.929993,139.539993,138.199997,138.850006,137.233032,3071000
2019-06-21,138.440002,139.539993,138.389999,139.199997,137.578949,5288700
2019-06-24,139.199997,140.149994,139.050003,139.350006,137.727219,2186000
2019-06-25,139.460007,139.550003,138.130005,138.360001,136.748734,2801200
2019-06-26,138.869995,139.679993,138.410004,138.520004,136.906876,2284600
2019-06-27,138.720001,139.300003,137.949997,138.520004,136.906876,2149800
2019-06-28,138.570007,139.139999,137.839996,137.899994,136.294083,6153900
2019-07-01,139.600006,141.490005,139.279999,139.880005,138.251038,3377700
2019-07-02,139.750000,140.429993,139.470001,140.220001,138.587082,2409700
2019-07-03,140.720001,141.820007,140.429993,141.539993,139.891693,1930400
2019-07-05,140.869995,141.490005,139.910004,141.380005,139.733566,2134700
2019-07-08,141.050003,141.289993,140.270004,140.570007,138.933014,2395300
2019-07-09,140.610001,140.990005,139.130005,139.330002,137.707443,3365200
2019-07-10,140.000000,141.910004,139.789993,140.470001,138.834167,2513900
2019-07-11,140.789993,141.580002,140.300003,141.240005,139.595200,2132900
2019-07-12,141.919998,142.919998,141.660004,142.740005,141.077728,2786200
2019-07-15,142.889999,143.509995,142.119995,143.320007,141.650986,2368300
2019-07-16,143.169998,144.039993,143.020004,143.529999,141.858536,3474700
2019-07-17,143.610001,143.800003,141.949997,143.070007,141.403900,6064300
2019-07-18,142.500000,150.309998,142.199997,149.630005,147.887497,12695400
2019-07-19,149.960007,151.580002,149.550003,149.679993,147.936905,7290700
2019-07-22,150.160004,151.940002,149.699997,149.740005,147.996216,4092600
2019-07-23,150.570007,150.720001,148.380005,150.380005,148.628769,3742200
2019-07-24,150.119995,151.449997,149.199997,150.029999,148.282837,2952400
2019-07-25,149.820007,150.619995,148.610001,150.389999,148.638641,3102100
2019-07-26,151.000000,151.410004,150.100006,151.360001,149.597351,2904300
2019-07-29,151.110001,151.479996,150.320007,150.880005,149.122940,2075500
2019-07-30,150.000000,150.399994,149.220001,149.770004,148.025864,2632700
2019-07-31,149.699997,150.179993,146.389999,148.240005,146.513687,3722900
2019-08-01,148.899994,152.820007,148.500000,150.320007,148.569458,6344000
2019-08-02,149.029999,152.949997,145.589996,147.250000,145.535202,8101700
2019-08-05,144.979996,145.100006,139.149994,140.759995,139.120789,7114900
2019-08-06,142.029999,142.470001,139.309998,140.729996,139.091141,5070700
2019-08-07,138.740005,139.580002,136.410004,139.110001,137.490005,5931900
2019-08-08,138.449997,140.419998,137.759995,140.100006,140.100006,5261100
2019-08-09,139.270004,139.309998,135.350006,136.130005,136.130005,5244600
2019-08-12,135.660004,135.869995,133.179993,134.119995,134.119995,3895600
2019-08-13,133.800003,136.570007,132.809998,135.789993,135.789993,4522100
2019-08-14,133.910004,134.160004,130.979996,131.250000,131.250000,5114200
2019-08-15,131.220001,132.369995,130.250000,131.919998,131.919998,3738900
2019-08-16,133.039993,134.589996,132.949997,133.759995,133.759995,3012000
2019-08-19,134.880005,136.330002,134.880005,135.039993,135.039993,3165100
2019-08-20,135.240005,135.279999,132.809998,133.000000,133.000000,3018600
2019-08-21,134.960007,135.940002,133.800003,134.250000,134.250000,2805700
2019-08-22,134.690002,135.679993,133.809998,134.320007,134.320007,2694900
2019-08-23,133.630005,134.259995,128.830002,129.570007,129.570007,4818400
2019-08-26,131.050003,131.300003,129.160004,129.990005,129.990005,2833900
2019-08-27,131.199997,131.699997,130.309998,131.169998,131.169998,4728000
2019-08-28,130.440002,132.889999,130.039993,132.759995,132.759995,2713600
2019-08-29,134.179993,135.690002,134.039993,134.880005,134.880005,2971800
2019-08-30,135.580002,136.070007,134.360001,135.529999,135.529999,2960600
2019-09-03,134.850006,134.899994,133.330002,134.100006,134.100006,2827900
2019-09-04,135.710007,136.429993,135.149994,136.320007,136.320007,2247900
2019-09-05,138.300003,141.695007,138.050003,140.970001,140.970001,4764219
